"rownames(PCA_Other)"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"
"TCGA-BT-A3PJ"	-24.0053883812608	1.31828180024357	-3.29964971676345	5.12981436207257	12.0954732478432	-11.7940491238897	2.8317024927899	-2.88289120011323	5.81577383524083	-12.7015310533749	-15.5673267188601	0.111751633808627	-19.9398346363336	2.32365087578403	-2.95093810498415e-14
"TCGA-DK-A1A7"	-32.0256784863679	7.43796076131593	0.78635175295626	8.83528944653282	7.14643692653468	-10.9886692621202	-3.50848252156149	-1.81846274156797	-11.7572564852105	25.694580891274	11.1949172857498	0.735965206871929	-1.62580878901661	0.259577186463765	2.78003531653526e-14
"TCGA-FD-A3N5"	-21.6310149527627	1.78238545975614	-4.25802021075553	3.64120163443295	8.30719117702682	-8.25286763168898	1.61929250956674	-5.22300931836566	1.17798400439026	-10.7296898722898	-9.15885918638518	2.61826951463105	25.2078041704149	2.78777346331625	1.31266525427165e-14
"TCGA-FT-A3EE"	-29.2519984144355	-16.4216153097668	22.7211093345194	-24.7172645596109	-11.1905379807532	20.2715056670365	0.7729330658908	-0.754325951870784	-3.58282542866926	-1.36108724460862	-1.09432235381127	0.337906667531002	-1.03642292675284	0.950855910372924	1.22523519108242e-14
"pooled_low_WT"	4.02803480207882	0.48721329318783	-0.0742016844485685	-1.69233810900683	1.78400696887375	-1.65485786935512	1.49672771108866	-1.22680182213955	0.32471464601966	-1.28888169661949	-2.06537907364169	3.10249788015023	0.562507139383788	-24.1217572892538	2.03179487123784e-15
"TCGA-BL-A13J"	16.8097786917253	4.09815209258025	-4.1490712659694	-4.01021955789349	0.0737664391637554	3.16306233862634	-34.7593315629632	-21.4294899465805	-9.4837135883714	-4.49111349986485	-0.463858698327733	-2.96585899225573	-1.71476733296696	1.70549915911945	3.35322047906317e-15
"TCGA-BT-A20T"	10.6497982829828	5.05916685151735	9.38142673584813	-6.00429702262877	-9.92439524282306	-19.3504683469303	-9.11662117844315	31.3798421867738	-12.1068011350586	-7.67933082495182	0.657116071659262	-3.59137844476896	0.45040477874413	1.47598072169673	-3.54976464889134e-14
"TCGA-BT-A20V"	8.31100943866295	-43.6957802955897	-22.9028926282753	6.92279459649939	-4.76007108645812	-4.07727863973506	3.02632441338458	1.7650886885658	-1.93273945630862	3.8061680192929	1.17940088831019	-5.40145855383778	-0.0636822766604359	1.14265149251573	-1.70588369818869e-14
"TCGA-BT-A2LA"	-7.25062729145026	22.6245436575243	-34.2918933556572	-3.70802085971414	-13.9779703740867	20.4460263741701	5.68766199452576	8.64860035896398	-2.46620883264639	0.420662828036181	-2.26726898007591	-1.9016855535813	-1.14471809370662	1.00517953511481	-1.73645819945278e-15
"TCGA-DK-A1A5"	4.55064639701396	2.19785726182641	19.5559609560226	38.2234775284357	-18.2162417392459	11.9689322180451	0.477382206834891	-0.668054860797585	3.79043620357807	-1.25117250589351	-2.82987160949413	-1.05486404732505	0.0914629517740837	0.691145441459438	1.2790983550115e-14
"TCGA-DK-A1A6"	15.5425557086086	5.27939902059152	5.33870992912041	-12.0051041109908	-1.87459996209004	-5.56694014010273	-3.10272377611014	1.34839352285925	25.1171904071583	18.9288626918293	-13.1280941434155	-8.68379311731392	2.52829038750175	1.94193330842446	3.87710696880816e-15
"TCGA-DK-A1AA"	22.8730949223349	8.5640124566296	6.7347749774373	-7.88792014332488	-5.37524936835024	-9.83169978029562	28.3218353907548	-19.1812014501335	-14.0391416846135	-1.28263107329853	1.38400750017083	-6.26768428512279	-1.04461503435951	2.78319649562389	-1.34050756606108e-15
"TCGA-DK-A3IL"	-4.50764342205976	3.54585862741805	-1.19456936800294	-2.67395316510836	-0.442312383381337	-4.6393648481615	0.382148091360261	-2.69905013511759	20.6414124231378	-11.7606251676938	29.1014981272121	-2.5625173042306	-1.0673020800094	0.96774618989378	8.53874262962684e-15
"TCGA-GD-A2C5"	17.6007984219927	-0.342898250412416	6.40254173645767	3.42961667516594	36.1131191855201	20.6693735651253	3.99236521056998	11.4375563983496	-4.17449693126751	-0.166477663201736	2.7794846967171	-5.41681692510763	0.549018881821595	1.80410053825922	-2.61509564003504e-15
"TCGA-H4-A2HQ"	18.3066342829372	-1.9345374268219	-0.750577192489335	-3.48307671486116	0.241384192226254	-0.362704520724179	1.87878595231164	1.30380627117392	2.67567202262081	3.86226617136461	0.278556194192131	30.9396663205509	-1.75233713983429	4.28246697120925	1.59785379372224e-14
