"rownames(PCA_all)"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"
"TCGA-BT-A3PJ"	-17.5720749450013	1.35606593495426	-10.8636656677023	3.11408088686024	-2.74248049576211	0.687011960507905	-1.26013951966564	7.69420332263753	-6.79505786222898	6.32273531377417	-0.329053179592139	-13.6828059437713	-2.46964330995015	-10.8568413586996	-0.532122458723731	-16.1095626095221	-8.76914307771175	-15.7143017354003	1.54754681291891e-14
"TCGA-DK-A1A7"	-25.797425348875	-4.96797722039968	-9.45971966938077	3.43146835209475	-0.959982669240198	14.1661057519908	-5.67868259694637	4.91112586437002	25.6715011189673	-20.4796722193003	-10.1438271370979	4.67719568739599	-4.28372619421686	-2.33283377252134	3.066977138798	0.274747310794433	-0.675847660344494	1.50605398646315	-4.41179211219112e-14
"TCGA-FD-A3N5"	-11.8547191089127	1.84020634486458	-9.01540509068902	0.398798172262631	-4.08272190879949	0.496651512650818	-1.71326335945205	4.07801175924527	-3.53199139742155	7.27226208934402	-0.231206804980793	-19.1516087360764	-4.74235911412433	-11.233628705632	-5.45821603738557	7.577721100802	17.2671418000798	11.8999374961204	1.40512601554121e-14
"TCGA-FT-A3EE"	-23.5220567031175	21.1423877086598	41.4258011849061	9.86890398023706	4.45926121967242	4.47490234634327	7.89622282528338	-7.61404225182661	1.70523435930377	2.30460048003545	0.44614489699671	0.834976775217851	-0.692225772676911	-2.56597062551938	-0.11150730352935	-2.4219998872959	2.22599333582063	-0.376394318341374	5.39499001028787e-16
"pooled_low_WT"	-2.64795401465518	-0.215542008987534	1.11675860115587	-0.807189695842888	-3.25874704645078	-2.73514206920407	1.46779983775121	1.85025361255533	-4.47827231548415	0.155559457483105	4.87010280094708	-3.46724459672098	-0.540794295590681	-4.71297312978313	0.28275070175353	4.68718542698372	-24.1656439716843	17.3671129997811	-1.04534436662362e-14
"TCGA-BL-A13J"	18.7447218057079	-8.50403023782917	3.72355545602989	-28.1339106875759	12.1465873248223	24.2134284503539	22.605557535259	1.68506118977946	4.80566460750979	4.16117458599607	-0.842279654770396	-7.44995160047637	0.759549945543304	4.06878149311312	-1.72090888811788	-1.21484312046243	-0.522037689463409	-1.19532972217793	-5.62414698146441e-14
"TCGA-BT-A20T"	-3.47569872932163	-5.60499041490347	-0.964588658187059	-5.48875664019106	-0.424383736758886	-2.58952511681695	-2.46428163562528	5.60795076315831	-0.690116158367342	-5.43614429658496	22.9142093599255	15.1004272020639	-5.52162611677733	0.691990173452381	-20.7660515707464	-8.1611367810436	3.89084708296794	1.76198716120764	1.38153377626793e-14
"TCGA-BT-A20V"	23.5907656096123	45.6661356813167	-14.4136643073773	-7.53133926821013	-0.044203202509432	1.0118089318612	-11.1463939793199	-4.04412411396855	4.63685389737011	-1.52520362583133	0.394497333873237	-0.148596497089179	-0.0269870669646312	5.35838741167695	0.874978450773912	-3.50726816191389	0.0309596506472594	1.11215215247655	1.83315819121677e-14
"TCGA-BT-A2LA"	-4.11288143546667	-8.71688384340581	-14.1331723188118	5.32843833217018	-14.7990525513491	4.43679917259312	8.72592714624884	-35.4694284434562	2.70845829394173	9.38955283856527	3.8340452838401	7.11964830402937	3.81268549577113	-2.27667539764388	4.26248904522914	-3.54885805578703	1.5889274936152	0.932340690524745	9.29464838428373e-15
"TCGA-BT-A3PH"	-22.1957811806618	-1.58912942519819	-3.48154581059872	2.88472336976166	-5.82723860307571	-2.79826546408	-2.49526310104396	-0.962034846254502	-0.573485815483776	4.09298038971832	3.85963440361826	-9.51914211437096	-0.847866303010726	26.0856607245979	-5.3264256636708	13.2415837863915	-3.24330929534582	-7.88840726722049	4.08006961549745e-15
