"rownames(PCA_APOBEC)"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"
"pooled_low_Mutant"	-0.401633461876378	12.9866118157984	-0.515360957424412	-36.95187605376	10.3738594660441	-7.67083624509898	-9.86078760711056	8.2878745834018	-9.15110816937242	-2.93920121124947	1.84201612296597e-14
"TCGA-BT-A3PJ"	2.82031686374441	10.322400350443	-2.52309627605339	-7.72978988058482	-3.42725929356132	14.6207241841512	5.31441267994709	-34.3718824998779	1.5159112049243	-5.19745045285951	-5.04184367866589e-14
"pooled_low_WT"	0.876155638748961	2.36212882579702	5.33062301631073	-1.72619507857699	-1.21038565075296	-1.32614329949933	6.54906276410562	-1.94713081650311	-0.215998727302212	30.1818488896302	1.17111181863194e-14
"TCGA-BT-A20T"	-1.17756864541919	2.69114285137191	14.9221338170371	11.0229718203791	-20.3332909502734	-20.4291377046757	-23.6504362392128	-6.97826190518963	-0.302350521023535	-2.28268063979263	1.88963428238154e-14
"TCGA-BT-A2LA"	46.1287133659807	-27.961593146176	-3.36393768503174	1.22640926862085	3.63969807791114	-0.610223932621384	0.481008551767034	1.71503025501069	-3.38226645425724	-2.49327272927959	2.27005914066325e-14
"TCGA-BT-A3PH"	0.0808191910095719	4.05114345098619	-4.00173072060034	-0.302069344453334	1.79370545397046	14.6798209924837	-12.1605465843037	11.0261265287594	31.5302775821779	-0.482530980209617	1.48266815491738e-14
"TCGA-CF-A27C"	-34.6546507892051	-40.2624468646359	-4.65399793570737	-4.01884175911766	2.20027447856649	0.151508872952142	0.759430757261707	-2.42671027323588	-1.4192976002186	-1.67955998321324	1.18386203618037e-14
"TCGA-DK-A1A5"	-3.52826627293641	7.00668359912387	2.16395222261086	6.67570553003521	-18.8965510414751	24.9380790708831	0.406560183961584	15.5356744742952	-18.5941878917	-2.60722365573918	-5.08725006564958e-14
"TCGA-DK-A1A6"	-4.96185053960898	8.08440204135594	24.751291724832	17.7723775343033	30.7302991792959	1.56852945045859	2.1751184538597	0.586380768393859	-4.44831667855153	-4.32947147817351	-1.92901250528621e-15
"TCGA-GD-A2C5"	-3.94565355777169	14.0705757261599	-38.6717680270202	16.7137742049059	7.77155287150482	-10.6018463355433	-0.692797165514229	0.745682971882798	-5.17288833473712	-0.150921222762267	-1.90080156475814e-14
"TCGA-H4-A2HQ"	-1.23638179266574	6.64895134977555	6.56189082104669	-2.68246624175163	-12.6419025912299	-15.3204750534901	30.6789742052386	7.82721591306272	9.64022559006045	-8.01953653635116	3.89315316096095e-14
