"Sample"	"Open_obs"	"Closed_obs"	"Open_CSB_subtract_obs"	"Closed_CSB_subtract_obs"	"Open_CSB_gene_subtract_obs"	"Closed_CSB_gene_subtract_obs"	"Open_exp"	"Closed_exp"	"Open_CSB_subtract_exp"	"Closed_CSB_subtract_exp"	"Open_CSB_gene_subtract_exp"	"Closed_CSB_gene_subtract_exp"	"Obs_exp_Open"	"Obs_exp_Closed"	"Obs_exp_Open_CBS_subtract"	"Obs_exp_Closed_CBS_subtract"	"Obs_exp_Open_CSB_gene_subtract"	"Obs_exp_Closed_CSB_gene_subtract"
"pooled_low_Mutant"	6620	5452	6610	5448	2888	3282	625931	545714	625824	545637	286261	328095	1.05762456245177	0.999058114690112	1.05620749603722	0.998466013118612	1.00886952815787	1.00032002925982
"pooled_low_WT"	19942	20058	19939	20055	9033	12388	2134855	1880163	2134494	1879959	975474	1134433	0.934114963311326	1.06682239784529	0.934132398591891	1.06677858400103	0.926011354479976	1.09199926306798
"TCGA-BT-A20T"	8568	8155	8564	8155	3941	5015	864877	766549	864718	766469	395715	462030	0.990661099786444	1.06385893139251	0.990380679019056	1.06396997138828	0.99591877993	1.08542735320217
"TCGA-BT-A2LA"	4445	4610	4443	4610	2049	2808	473459	416984	473379	416922	216218	252313	0.938835252894126	1.10555800702185	0.938571419517976	1.10572241330513	0.947654681848875	1.11290341758054
"TCGA-BT-A3PH"	13936	10685	13932	10683	6192	6363	1238993	1102322	1238771	1102194	565758	665160	1.12478440152608	0.969317495250934	1.12466307332025	0.969248607776852	1.09446088256817	0.95661194299116
"TCGA-BT-A3PJ"	14043	11129	14038	11125	6313	6717	1288388	1141684	1288131	1141556	589062	689195	1.0899666870539	0.974788120005185	1.08979599124623	0.974547021784302	1.07170382744091	0.974615312066977
"TCGA-CF-A27C"	4152	3612	4151	3612	1885	2143	398026	351544	397952	351515	182340	211772	1.04314793505952	1.02746740095123	1.04309062399485	1.02755216704835	1.03378304266754	1.01193736660182
"TCGA-DK-A1A5"	10996	9898	10995	9895	5122	6046	1066360	945218	1066180	945109	487798	570099	1.03117146179527	1.04716583899164	1.03125175861487	1.04696918556484	1.05002480534976	1.06051755923094
"TCGA-DK-A1A6"	8223	7346	8217	7346	3803	4474	797282	706938	797135	706860	364272	426283	1.03137911052802	1.03912931544209	1.0308166119917	1.03924398042045	1.04400008784644	1.04953751381125
"TCGA-GD-A2C5"	7033	5935	7031	5934	3108	3568	660702	581522	660594	581461	301734	350691	1.0644738475137	1.02059767300291	1.0643451196953	1.02053276144058	1.03004633219988	1.01741989386668
"TCGA-H4-A2HQ"	11164	10699	11164	10697	5158	6448	1124511	992444	1124302	992333	514318	598707	0.992787087009376	1.07804571341053	0.992971639292646	1.07796475578259	1.00288148577339	1.07698757489056
