""	"All_mutant_weighted"	"All_WT_weighted"	"APOBEC_mutant_weighted"	"APOBEC_WT_weighted"	"Other_Mutant_weighted"	"Other_WT_weighted"
"TCGA.130.Signature.5"	0.580987215985335	0.356282937059705	0.101523215113484	0.0710089994958422	0.871820391353075	0.901485608091245
"DFCI.MSK.50.Signature.5"	0.565070014504124	0.35125087496309	0.0883830214011857	0.0774640343359717	0.860442166272167	0.883251558044652
"BGI.99.C.T_CpG.Signature.5"	0.478627379132093	0.3094451745171	0.0816765624252432	0.055826593131246	0.717802474953908	0.802173534631226
"COMB.279.Signature.5"	0.580739871339473	0.351190490463562	0.094078552802569	0.0649753911010883	0.881094586380927	0.905277420907589
"COMB.MI.242.Signature.5"	0.589387088746884	0.355573486587407	0.0999605803060569	0.0691168103800266	0.888166101486244	0.909053840002829
"TCGA.130.DFCI.MSK.50.Signature.5"	0.592558813423363	0.364153339367784	0.106462368170853	0.079263185972697	0.884690846132643	0.90801698359241
"COSMIC.Signature.5"	0.713189887186153	0.464607585594074	0.229707065119446	0.192994126544692	0.91690588510982	0.900318889337548
"COSMIC.Signature.2"	0.767230279861973	0.784533230190265	0.916836390489745	0.815162311302174	0.0271560573817076	0.234697955664375
"COSMIC.Signature.13"	0.567337566622373	0.807863752119381	0.680484215248265	0.84983905959327	0.0153930750622126	0.167106308578553
