TCGA-BL-A13J	TCGA-BT-A20P	TCGA-BT-A20Q	TCGA-BT-A20T	TCGA-BT-A20V	TCGA-BT-A2LA	TCGA-BT-A3PH	TCGA-C4-A0F7	TCGA-CF-A27C	TCGA-CF-A3MF	TCGA-DK-A1A5	TCGA-DK-A1A6	TCGA-DK-A1AA	TCGA-DK-A1AE	TCGA-DK-A1AG	TCGA-DK-A3IL	TCGA-FD-A3N6	TCGA-GD-A2C5	TCGA-H4-A2HQ
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0262505	0.0254852	0.0233045	0.0374262	0.0214425	0.0286369	0.0299987	0.0245269	0.0333257	0.0197296	0.0337316	0.0314844	0.0250862	0.0268228	0.0310982	0.0247647	0.0278737	0.02882	0.0203668
0.0130219	0.0133271	0.0116522	0.0163114	0.0141326	0.0114548	0.014669	0.0142316	0.0135601	0.0105955	0.0182972	0.0153866	0.0155744	0.014671	0.0152251	0.0192244	0.0124025	0.0133768	0.00952293
0.031728	0.0638298	0.0657305	0.0309216	0.0555556	0.108935	0.0451962	0.0526874	0.043898	0.111071	0.0383371	0.0256012	0.0224731	0.0314167	0.0696469	0.0227622	0.0469249	0.0274062	0.00764906
0.020773	0.0191723	0.0206155	0.0204143	0.0205897	0.0142039	0.0185014	0.0193793	0.0195357	0.0105955	0.0238984	0.019007	0.0173513	0.0222288	0.015873	0.0228957	0.018412	0.0205546	0.0132399
0.0334849	0.0315642	0.0322677	0.0589413	0.024001	0.0353952	0.0568257	0.0228615	0.0505631	0.0138838	0.0573811	0.053142	0.0408697	0.0317131	0.0434078	0.0209599	0.0273622	0.0432844	0.0230394
0.0298677	0.0271218	0.0316702	0.0397278	0.0168129	0.0202749	0.0311881	0.0152914	0.0271202	0.0168067	0.0329848	0.0327773	0.0376294	0.0248963	0.0304503	0.0245644	0.0217364	0.0258836	0.0140079
0.025217	0.0392799	0.0543771	0.0269188	0.0425195	0.0955326	0.0412317	0.0416351	0.0337853	0.0675923	0.0339806	0.0251487	0.0229957	0.0228216	0.0417881	0.0172886	0.0396369	0.0237085	0.00903143
0.0375155	0.0425532	0.0355542	0.0565396	0.0233918	0.0339061	0.0340954	0.0240727	0.0468858	0.0204604	0.0553896	0.0451901	0.0491272	0.0294902	0.0362812	0.0279688	0.0262115	0.0384992	0.0235309
0.0163291	0.0233809	0.0215118	0.0258181	0.0209552	0.0187858	0.0350205	0.0178653	0.0280395	0.0105955	0.028006	0.0195242	0.0158879	0.0238589	0.0330418	0.0302383	0.021097	0.0213159	0.0156053
0.0166391	0.026888	0.0256947	0.0176123	0.0162037	0.0167239	0.0292058	0.012869	0.0220639	0.0164414	0.0206622	0.0142229	0.0150517	0.0195614	0.0278588	0.0251652	0.019307	0.0201196	0.0113354
0.0260438	0.0565817	0.0684195	0.0237166	0.0534844	0.0769759	0.0499537	0.0436033	0.035624	0.0990135	0.0276326	0.0216576	0.0169332	0.0271191	0.0625202	0.0204926	0.0439841	0.0222947	0.00694252
0.0196362	0.0332008	0.0349567	0.0184129	0.0192495	0.0186712	0.0273556	0.0198335	0.0232131	0.0171721	0.028006	0.0149987	0.0196509	0.0189686	0.0285066	0.0356452	0.0218642	0.0213159	0.0130249
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0126085	0.0123919	0.0113535	0.010007	0.0105994	0.00710195	0.00845778	0.0154428	0.0142496	0.0124224	0.00672143	0.0106672	0.0116024	0.0106698	0.00874636	0.0119485	0.00958957	0.0113105	0.0186465
0.00527077	0.00631284	0.0071706	0.00510357	0.00755361	0.0045819	0.00541826	0.00999243	0.00482648	0.00657654	0.00435648	0.00581846	0.00533082	0.00859514	0.00907029	0.0056071	0.00664877	0.00598151	0.00715756
0.00826788	0.00654664	0.00567673	0.00740518	0.0101121	0.00584192	0.00647549	0.00968963	0.00597564	0.00913409	0.00746826	0.0073054	0.00919829	0.00637226	0.00971817	0.00667512	0.00677663	0.0108755	0.011704
0.013642	0.0191723	0.021213	0.0111078	0.0183967	0.00801833	0.0165191	0.0192279	0.0133303	0.0197296	0.0139408	0.0132532	0.0125431	0.0168939	0.0165209	0.0126827	0.0164941	0.0143556	0.0156975
0.00744109	0.00327332	0.00298775	0.00710497	0.00730994	0.00389462	0.00396458	0.00696442	0.00666513	0.00584582	0.00659696	0.00685286	0.0100345	0.00622407	0.00550696	0.0106134	0.00562588	0.00924415	0.0168648
0.00640761	0.00490998	0.00507918	0.00520364	0.0086501	0.00538373	0.00422889	0.0102952	0.00390715	0.00548045	0.00448096	0.00601241	0.00574893	0.00711322	0.00323939	0.00420533	0.00703235	0.00652529	0.0121033
0.0106449	0.00490998	0.00507918	0.00740518	0.00682261	0.00641466	0.00687194	0.00938683	0.00896346	0.00621118	0.00609908	0.00853375	0.0128567	0.0056313	0.00518303	0.00894466	0.00549802	0.011528	0.0184315
0.00940471	0.00467617	0.0035853	0.0060042	0.0140107	0.00813288	0.00555042	0.0145344	0.00988279	0.008038	0.00572567	0.00853375	0.0110798	0.010818	0.00550696	0.00981243	0.010101	0.0104405	0.0198138
0.00516742	0.00303951	0.00209143	0.00420294	0.00475146	0.00504009	0.00264306	0.00575322	0.00505631	0.00219218	0.00348519	0.00555987	0.00637608	0.00459395	0.00291545	0.00600761	0.00306866	0.00630778	0.00989156
0.00227367	0.00210428	0.00209143	0.00250175	0.00389864	0.00263459	0.00264306	0.00484481	0.00252815	0.00328827	0.00199154	0.00252133	0.00313578	0.00385299	0.000647878	0.00307056	0.00434727	0.00380642	0.00540657
0.00764779	0.0025719	0.00328653	0.00470329	0.00633528	0.00343643	0.00303951	0.00620742	0.00528614	0.004019	0.00273836	0.00471942	0.00668966	0.00311203	0.00323939	0.00387157	0.00268508	0.00772159	0.0105674
0.00496073	0.00350713	0.0023902	0.00410287	0.00901559	0.00263459	0.00370028	0.00938683	0.00482648	0.00328827	0.00286283	0.00575381	0.00574893	0.00681683	0.00453515	0.00627461	0.00626518	0.00630778	0.0102295
0.0169492	0.0161328	0.0149388	0.00920644	0.0205897	0.00733104	0.0159905	0.0133232	0.0124109	0.020095	0.00958427	0.0135118	0.0113933	0.0112626	0.0184645	0.0120152	0.0145761	0.0155519	0.0188308
0.00537412	0.00514379	0.00179265	0.00250175	0.00596979	0.00469645	0.00277521	0.00741862	0.00321765	0.00438436	0.00448096	0.00517197	0.00407651	0.00918791	0.00323939	0.00380482	0.00690449	0.00652529	0.00758763
0.0070277	0.00444237	0.00388408	0.00510357	0.00548246	0.00389462	0.00343597	0.00484481	0.0064353	0.00182682	0.0047299	0.00601241	0.00731682	0.00592768	0.00356333	0.00614111	0.00421941	0.005764	0.00872423
0.0109549	0.0107552	0.0110547	0.00780546	0.0157164	0.00859107	0.0118937	0.0193793	0.0114916	0.0113263	0.0112024	0.0117016	0.00982544	0.0176349	0.0103661	0.011281	0.0126582	0.0133768	0.0182779
0.0646962	0.0425532	0.0376457	0.069949	0.0214425	0.0306987	0.0286772	0.0208933	0.0484946	0.0310559	0.0492905	0.0649728	0.0793352	0.030083	0.0275348	0.0416528	0.018412	0.0515498	0.043529
0.00795783	0.0114566	0.0095608	0.0060042	0.0104776	0.00492554	0.00766486	0.00741862	0.00735463	0.00694191	0.00746826	0.00640031	0.00543535	0.00726141	0.00712666	0.00580736	0.00792738	0.00750408	0.00697324
0.0300744	0.0250175	0.0221094	0.0319223	0.0146199	0.0174112	0.014669	0.0149886	0.0213744	0.0157106	0.0222803	0.0262477	0.0398244	0.0182276	0.0155491	0.0173553	0.0115075	0.0254486	0.0237459
0.0309012	0.0313304	0.023902	0.0303212	0.0229045	0.0175258	0.0188978	0.0219531	0.0264307	0.0208257	0.0246453	0.0241143	0.030208	0.0297866	0.0304503	0.0240304	0.0191791	0.0270799	0.0254969
0.0192228	0.0112228	0.00627428	0.0202141	0.0103558	0.00893471	0.00885424	0.00817562	0.0147093	0.00767263	0.0166791	0.025084	0.0333438	0.00859514	0.00907029	0.015553	0.00856668	0.0206634	0.0184622
0.00589086	0.00607903	0.0059755	0.00430301	0.00901559	0.00687285	0.00528611	0.00620742	0.0064353	0.00767263	0.00360966	0.00594776	0.00616703	0.0074096	0.00712666	0.00754289	0.0104846	0.00543774	0.00853992
0.0114717	0.00935235	0.00926203	0.0111078	0.00950292	0.00767468	0.00594687	0.00984103	0.00873362	0.00657654	0.00933532	0.0104086	0.0165151	0.00755779	0.00809848	0.00987918	0.00907812	0.012398	0.0122877
0.0134353	0.00841711	0.00896325	0.0101071	0.0116959	0.0134021	0.00766486	0.0134746	0.00988279	0.0105955	0.0110779	0.0152573	0.0152608	0.0106698	0.01069	0.0134837	0.0126582	0.0131593	0.0170184
0.020153	0.0166004	0.01464	0.0216151	0.0103558	0.0124857	0.0140082	0.0102952	0.0124109	0.0197296	0.0173015	0.0198474	0.0287446	0.0106698	0.0132815	0.0205594	0.0131697	0.0178358	0.0167726
0.00434064	0.00701426	0.00627428	0.0040028	0.00755361	0.00423826	0.00422889	0.00711582	0.0078143	0.0138838	0.00448096	0.00407292	0.00397199	0.00474215	0.00485909	0.00427208	0.00792738	0.00435019	0.00451571
0.00919802	0.00888473	0.00806693	0.00990693	0.0082846	0.0134021	0.00647549	0.00847843	0.0078143	0.008038	0.00970874	0.0079519	0.0100345	0.00844695	0.00712666	0.00674187	0.00946171	0.00924415	0.00943077
0.0127119	0.0144961	0.0083657	0.0112078	0.0130361	0.00801833	0.00885424	0.00878123	0.0114916	0.0168067	0.0114513	0.0111844	0.0132748	0.0127445	0.0132815	0.0117482	0.0134254	0.0113105	0.0120419
0.0264572	0.0166004	0.0125486	0.0292205	0.0113304	0.0147766	0.0130831	0.0139288	0.0170076	0.0149799	0.0206622	0.0284458	0.0319849	0.0158566	0.0139294	0.0220947	0.0129139	0.0235998	0.0213191
0.0100248	0.0100538	0.00866448	0.00520364	0.0119396	0.0045819	0.00555042	0.00847843	0.00666513	0.00949945	0.00572567	0.00711146	0.00543535	0.00844695	0.00777454	0.00747614	0.0106125	0.00652529	0.00654318
0.0129186	0.00654664	0.00926203	0.0138097	0.00633528	0.013173	0.00740056	0.0115064	0.00666513	0.00767263	0.00933532	0.0106025	0.0117069	0.00815056	0.00712666	0.00874441	0.00831096	0.00804785	0.00838632
0.0162257	0.0166004	0.0152375	0.0149104	0.0163255	0.0103093	0.0114973	0.0154428	0.0137899	0.0135185	0.0168036	0.0135764	0.0154698	0.0176349	0.0149012	0.0165543	0.0152154	0.0178358	0.0155746
0.00372055	0.00607903	0.00388408	0.00260182	0.00523879	0.00194731	0.00264306	0.00499621	0.00390715	0.00365364	0.00360966	0.00374968	0.0028222	0.0056313	0.00356333	0.00400507	0.00396369	0.00271887	0.00451571
0.00175692	0.00163666	0.00179265	0.00180126	0.00292398	0.000801833	0.0025109	0.00317941	0.00183866	0.00219218	0.00236495	0.00155159	0.000731682	0.00266746	0.0016197	0.00180228	0.00281294	0.00130506	0.00175099
0.00413394	0.00140285	0.00298775	0.00230161	0.00609162	0.00286369	0.00185014	0.00348221	0.00275799	0.00365364	0.00273836	0.00303853	0.00188147	0.00711322	0.00194363	0.00166878	0.00485871	0.0021751	0.00451571
0.00764779	0.0119242	0.0083657	0.00390273	0.00511696	0.00515464	0.00607903	0.00666162	0.00367732	0.00584582	0.00485437	0.00452547	0.00459914	0.00889152	0.00615484	0.00447233	0.00677663	0.00467645	0.00503794
0.0036172	0.00327332	0.0023902	0.0020014	0.0045078	0.00183276	0.00211444	0.00211961	0.000919329	0.00365364	0.00311177	0.00310318	0.000731682	0.00459395	0.0016197	0.0030038	0.0029408	0.00271887	0.00377845
0.00186027	0.00233809	0.00268898	0.00120084	0.00292398	0.00229095	0.00158583	0.00333081	0.00183866	0.00255754	0.00199154	0.00200414	0.000836208	0.00459395	0.00259151	0.00180228	0.00383583	0.0023926	0.00261113
0.00485738	0.00397475	0.00268898	0.00220154	0.00609162	0.00309278	0.00211444	0.00378501	0.00413698	0.00365364	0.00522778	0.00323248	0.00324031	0.00459395	0.00323939	0.00313731	0.00498657	0.0023926	0.00666605
0.00723439	0.00607903	0.00746938	0.00270189	0.00804094	0.010882	0.00488965	0.014383	0.00275799	0.00986482	0.00497884	0.00724076	0.0024041	0.00607587	0.00291545	0.0030038	0.0194349	0.00467645	0.0104445
0.00186027	0.000701426	0.000896325	0.00110077	0.00280214	0.00183276	0.00171799	0.00317941	0.00160883	0.00146145	0.00124471	0.00135764	0.000940734	0.00281565	0.0016197	0.00173553	0.0023015	0.00195759	0.00264185
0.00186027	0.000467617	0.00059755	0.00060042	0.00194932	0.00091638	0.00171799	0.0016654	0.00183866	0.00219218	0.000622355	0.00103439	0.00052263	0.00222288	0.00129576	0.000867766	0.00242936	0.0011963	0.00132092
0.00372055	0.0025719	0.0023902	0.00230161	0.00670078	0.00252005	0.00264306	0.00605602	0.00229832	0.004019	0.00261389	0.00265063	0.0024041	0.00400119	0.00259151	0.0026033	0.00345224	0.00261011	0.00491506
0.00372055	0.00350713	0.00328653	0.00190133	0.00475146	0.00435281	0.00356812	0.00726722	0.00206849	0.00474973	0.00398307	0.00329713	0.00114979	0.00340842	0.00453515	0.00140178	0.00869454	0.00282762	0.00479219
0.00516742	0.00584522	0.00507918	0.00320224	0.00670078	0.00320733	0.00317167	0.00651022	0.00298782	0.00292291	0.0038586	0.00329713	0.00324031	0.00474215	0.00388727	0.00440558	0.0052423	0.00565525	0.0064203
0.00330715	0.00210428	0.00448163	0.0010007	0.0041423	0.00194731	0.0025109	0.00393641	0.00160883	0.00328827	0.00224048	0.00226274	0.000731682	0.00533491	0.00194363	0.00226954	0.00383583	0.00250136	0.00261113
0.00434064	0.00397475	0.0035853	0.00320224	0.00621345	0.00320733	0.00370028	0.00741862	0.00482648	0.00474973	0.00348519	0.00465477	0.00250862	0.00844695	0.00323939	0.0056071	0.00575374	0.00369766	0.00516081
0.0109549	0.0156652	0.0137437	0.00720504	0.0146199	0.0106529	0.0122902	0.0157456	0.00850379	0.0124224	0.00734379	0.00976209	0.00386746	0.015412	0.01069	0.00600761	0.0198184	0.0112017	0.0117961
